"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3rPtS4nfpy7PsARctAWpzd","Best Friend","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:7nLg6Pwut1eqXoK51ZjVFW","Best Friend","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-01-25","https://i.scdn.co/image/ab67616d0000b273ff874602e13e9181c26e5f01","1","1","262231","https://p.scdn.co/mp3-preview/1b45899b060b09fb16d8a56ca1d22a684b9129de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","US23A1500387","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:43:18Z"
"spotify:track:4EWBhKf1fOFnyMtUzACXEc","Pluto Projector","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:5CNckxfLf4TCoMOoxgAU8l","Pony","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2019-10-25","https://i.scdn.co/image/ab67616d0000b273733e6d7818eef87d20df86b5","1","7","267520","https://p.scdn.co/mp3-preview/de98b7525eaa0120bf0cf147888e81f75017a76a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USRC11902533","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:43:24Z"
"spotify:track:3ld1FzyNgpZwGn4h9cOXrq","Love Me Not (feat. Rex Orange County)","spotify:artist:5RTLRtXjbXI2lSXc6jxlAz, spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Ravyn Lenae, Rex Orange County","spotify:album:66SYFOZM5lxnGsBot10yqI","Love Me Not (feat. Rex Orange County)","spotify:artist:5RTLRtXjbXI2lSXc6jxlAz, spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Ravyn Lenae, Rex Orange County","2024-10-08","https://i.scdn.co/image/ab67616d0000b273429fb56a1c1abd794170cecd","1","1","188198","https://p.scdn.co/mp3-preview/ba9e2b0768ef87ca7fe9969cf77f3098c68ae8c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USAT22408814","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:44:01Z"
"spotify:track:1gH1h30wkQdd9zhY3j7a8T","THE SHADE","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2yI4m5Yu2tl8v0It5P9WVz","WHO CARES?","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2022-03-11","https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0","1","8","181506","https://p.scdn.co/mp3-preview/b62081b11cc9821d10922900bc290eaf459d7e84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USRC12102927","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:44:11Z"
"spotify:track:27rZYxE4l21wTaovX4WTnI","Television / So Far So Good","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:4DxNdQzm6cBYuSn4dCimmT","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b2731bd6d088d3d81972af4cb81d","1","2","262600","https://p.scdn.co/mp3-preview/166f1dfa87d9d0ebe3c530b2f625e2cf046f7777?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","US23A1500497","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:44:17Z"
"spotify:track:7h2nmmoWDi2UpfYKLKWLYB","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:3qJTNgjVc6EM3yJnjFAALE","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-03-22","https://i.scdn.co/image/ab67616d0000b273e89fffbc825d52c018a2357e","1","1","252230","https://p.scdn.co/mp3-preview/27b6b4f595da7570041c61e553a2cb8ceb6c8417?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","US23A1500468","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:44:25Z"
"spotify:track:7ASFZh1D0DPZro7UXUKGmd","Loving Is Easy","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL, spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N","Rex Orange County, Benny Sings","spotify:album:3GgV5IZzgFljVfmxFeHsLY","Loving is Easy","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-10-11","https://i.scdn.co/image/ab67616d0000b2733a626302e9356ad154c4dffd","1","1","155720","https://p.scdn.co/mp3-preview/974a2d5b5bc9e767e270ba7d9f13c9b03ab5a60a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","GBKPL1789493","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:45:06Z"
"spotify:track:5LrN7yUQAzvthd4QujgPFr","Here With Me","spotify:artist:5y8tKLUfMvliMe8IKamR32","d4vd","spotify:album:3rrrTOHiXGzuW4FP7t0O1A","Petals to Thorns","spotify:artist:5y8tKLUfMvliMe8IKamR32","d4vd","2023-05-26","https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7","1","2","242484","","false","76","QZMEM2209263","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:45:42Z"
"spotify:track:1xK59OXxi2TAAAbmZK0kBL","Romantic Homicide","spotify:artist:5y8tKLUfMvliMe8IKamR32","d4vd","spotify:album:4B3FsNFguOEJ4TWEsct83B","Romantic Homicide","spotify:artist:5y8tKLUfMvliMe8IKamR32","d4vd","2022-07-20","https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0","1","1","132630","","false","87","QZMEM2232831","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:45:57Z"
"spotify:track:2ravLKGYnJWa7szKSBRTRJ","Corduroy Dreams","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2PdLUS263cFyd7efyWH5B8","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273fe1854cea6c63b2ba726a299","1","4","206974","https://p.scdn.co/mp3-preview/06357998ea486d105e55eb68481bd665c4436f19?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","US23A1500300","spotify:user:314atdqt2mqodvfwqh357n4m7cnu","2025-08-07T14:46:21Z"
